id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;created_by;last_modified_by
1;system;$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG;System;System;system@localhost;;true;en;system;system
2;anonymoususer;$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO;Anonymous;User;anonymous@localhost;;true;en;system;system
3;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;admin@localhost;;true;en;system;system
4;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user@localhost;;true;en;system;system
5;hr;$2a$10$GZ765CZ2O7cqlNiil0M2oOa9KVtSO1p/Ea2j73IEvbykSuSLPKP4a;HR;HR;hr@localhost;;true;en;system;system
6;it;$2a$10$KbmiPTZ0uYT2Gh1ikiWsOOlZ9O6lZWXiQFLXMjgsA4qKcVQSReBRC;IT;IT;it@localhost;;true;en;system;system
7;finanse;$2a$10$BtRTDNSC8uRkNZH8xrs5I.gQSUvBfP0PfKPF6pcD1ci6lIY0Y75WO;FINANSE;FINANSE;finanse@localhost;;true;en;system;system
8;marketing;$2a$10$0QJBP6K514SJAV4ag8Lm1OxpnUTRquG/ZO4N.AOMXesH4vzAuhLVu;MARKETING;MARKETING;marketing@localhost;;true;en;system;system
9;sprzedaz;$2a$10$gTGX0maWkM1uWEU6Ov2Fo.1fK0uw59m0biBdkfcZEEvb7VgA652Be;SPRZEDAZ;SPRZEDAZ;sprzedaz@localhost;;true;en;system;system
10;inne;$2a$10$T7Qc4ypch7ADvCMywb/TQ.96tBM7qvTh95KIK/ethO/0YmQlOlpWq;INNE;INNE;inne@localhost;;true;en;system;system
